	pc1	pc2	#SNP	iid	pop
883	-0.22167714215985562	0.08326628327628506	500206	Nlk18.HO	Even.HO
884	-0.20110776790188215	0.05872106244761788	500244	Esk29.HO	Eskimo_ChaplinSireniki.HO
885	-0.20974713386430488	0.06878920261759496	500244	Kor30.HO	Koryak.HO
886	-0.20329142001440062	0.06273891029359065	500146	Kor72.HO	Itelmen.HO
887	-0.23590482108217564	-0.0028075094932428716	499544	Ul9.HO	Ignore_Ulchi.HO
888	-0.22794371000959326	0.07640204427358845	500424	Ul41.HO	Ignore_Ulchi.HO
889	-0.24346343225143252	0.034253311588102596	500236	Ul71.HO	Ulchi.HO
890	-0.12227299936718596	0.0321124132709542	500202	Tuba6.HO	Tubalar.HO
891	-0.03477175893126478	0.02139384076203626	499544	Tuba14.HO	Ignore_Tubalar.HO
892	-0.12416875388961417	0.036276802398518306	500347	Tuba22.HO	Tubalar.HO
893	-0.12859734888206373	0.031060032311067437	500431	Tuba30.HO	Tubalar.HO
894	-0.22886234485710014	0.07846394840318753	500288	Nlk3.HO	Even.HO
895	-0.03336602548302855	0.02471173930066049	500278	Nlk19.HO	Even.HO
896	-0.1461384378557821	0.052578056097841545	499529	Kor39.HO	Ignore_Koryak.HO
897	-0.2344165141768977	0.08739718916173231	500342	Kor86.HO	Ignore_Itelmen.HO
898	-0.24427153733361145	0.02169792569167184	500228	Ul10.HO	Ulchi.HO
899	-0.24327224204301665	0.04311142593230314	500439	Ul43.HO	Ulchi.HO
900	-0.237959692707475	0.03262481783084894	498627	Ul72.HO	Ulchi.HO
901	-0.029900034662273468	0.023679238687445755	500052	Tuba7.HO	Ignore_Tubalar.HO
902	-0.12165825396693962	0.02941840791893241	500464	Tuba15.HO	Tubalar.HO
903	-0.1242501905021674	0.02624897641756751	500160	Tuba23.HO	Tubalar.HO
904	-0.1160244967250967	0.0348740755811524	500309	Tuba31.HO	Tubalar.HO
905	-0.13532935843026228	0.05083452404025401	499995	Nlk5.HO	Even.HO
906	-0.11600233861209365	0.037179116938907235	500115	Ale9.HO	Tlingit.HO
907	-0.1953619138644691	0.05701972362497819	499983	Esk38.HO	Eskimo_ChaplinSireniki.HO
908	-0.20428853802241587	0.06264979083768034	500234	Kor40.HO	Koryak.HO
909	-0.10063792385931218	0.021698633393726734	499813	Ul61.HO	Ignore_Ulchi.HO
910	-0.2391710088385807	0.027164563971425672	500160	Ul44.HO	Ulchi.HO
911	-0.24003965912559488	0.028180997284494635	500374	Ul74.HO	Ulchi.HO
912	-0.02304450452132892	0.01792521504839602	499798	Tuba8.HO	Ignore_Tubalar.HO
913	-0.13275335435194008	0.033673507510488865	499869	Tuba16.HO	Tubalar.HO
914	-0.12204668378021238	0.02870768760355635	500348	Tuba24.HO	Tubalar.HO
915	-0.07986555942254166	0.038116641290279106	500451	Nel13.HO	Yukagir_Forest.HO
916	-0.1861809356305082	0.0704286501352932	500298	Nlk6.HO	Even.HO
917	-0.19293509967695466	0.05486615985559778	500283	Sir77.HO	Eskimo_ChaplinSireniki.HO
918	-0.20430275373659798	0.06027286925145152	499801	Kor49.HO	Koryak.HO
919	-0.23846417857887114	0.0038735450649406843	500369	Ul19.HO	Ulchi.HO
920	-0.0960182747353722	0.01595817670889636	500434	Ul54.HO	Ignore_Ulchi.HO
921	-0.11532917659782056	0.03116118750806078	500341	Tuba1.HO	Tubalar.HO
922	-0.12526797611362442	0.03091113754916345	499731	Tuba9.HO	Tubalar.HO
923	-0.13334438402782064	0.034732347278504334	500154	Tuba17.HO	Tubalar.HO
924	-0.10509148767187318	0.029593600635993183	500304	Tuba25.HO	Tubalar.HO
925	-0.08464816432958348	0.046201198008166834	477279	Nel15.HO	Yukagir_Forest.HO
926	-0.07588983962048526	0.03245308575787758	500263	Ale14.HO	Aleut_o.HO
927	-0.1973662287688382	0.06306133522037259	497781	Sir14.HO	Eskimo_ChaplinSireniki.HO
928	-0.20177629591251026	0.05797421861315933	499717	Kor54.HO	Koryak.HO
929	-0.21588041714922884	0.07320925547667584	500271	Ckrd8.HO	Yukagir_Tundra.HO
930	-0.23592520506356146	0.05422768933886348	499525	Ul24.HO	Ulchi.HO
931	-0.24037834761825785	0.03296580150594959	498477	Ul59.HO	Ulchi.HO
932	-0.1087079145917821	0.02785000727724298	500305	Tuba2.HO	Tubalar.HO
933	-0.10623749651169125	0.032724651414515825	499828	Tuba10.HO	Tubalar.HO
934	-0.12121190885354065	0.03724222726612862	500449	Tuba18.HO	Tubalar.HO
935	-0.0879986400944341	0.02945901383729125	500054	Tuba26.HO	Ignore_Tubalar.HO
936	-0.07141790925893671	0.04245470083132208	500278	Nel16.HO	Yukagir_Forest.HO
937	-0.08549240052670849	0.04464862054029736	500476	Nlk10.HO	Even.HO
938	-0.06486441607361289	0.037298444524459594	500217	Ale16.HO	Tlingit.HO
939	-0.198573052695757	0.05750622968887014	500369	Sir26.HO	Eskimo_Sireniki.HO
940	-0.2020385146211105	0.06097575195623225	500353	Kor57.HO	Itelmen.HO
941	-0.21737057091766293	0.07744669854278809	497882	Ckrd9.HO	Yukagir_Tundra.HO
942	-0.10275590562329126	0.012554232164511878	500361	Ul62.HO	Ignore_Ulchi.HO
943	-0.09363838483336691	0.010787206595968898	485993	Tuba3.HO	Ignore_Tubalar.HO
944	-0.1041754268070598	0.03401984954001936	500290	Tuba11.HO	Tubalar.HO
945	-0.12412526312762413	0.03483232432027597	500064	Tuba19.HO	Tubalar.HO
946	-0.10403608548999566	0.026102643580047658	500277	Tuba27.HO	Ignore_Tubalar.HO
947	-0.08996811741775634	0.053359572601209056	500212	Nel17.HO	Yukagir_Forest.HO
948	-0.09194433511240689	0.05045781365362694	500297	Nlk14.HO	Even.HO
949	-0.026662281897197236	0.023060009908362086	500368	Ale32.HO	Aleut_o1.HO
950	-0.20236660246332563	0.06547588472473843	500365	Kor61.HO	Koryak.HO
951	-0.22308950778967165	0.03258971044529998	439520	Ul27.HO	Ignore_Ulchi.HO
952	0.016464770492127506	-0.03742551728027652	499676	HGDP00001.HO	Brahui.HO
953	0.015387955818986752	-0.0347844476881117	499713	HGDP00003.HO	Brahui.HO
954	0.0106640440897506	-0.03180484859888599	500209	HGDP00005.HO	Brahui.HO
955	0.018048386322655922	-0.03669540825866894	499244	HGDP00007.HO	Brahui.HO
956	0.016282521975634477	-0.03714057986596016	499203	HGDP00011.HO	Brahui.HO
957	0.004267589760352711	-0.038214374484402944	498463	HGDP00013.HO	Ignore_Brahui.HO
958	0.0191125680874724	-0.036023614372332695	500043	HGDP00015.HO	Brahui.HO
959	0.018853628635621053	-0.03600165027244968	500098	HGDP00017.HO	Brahui.HO
960	0.011252720710657287	-0.03195804907292201	500065	HGDP00019.HO	Brahui.HO
961	0.02041812092372168	-0.0368913462212235	499874	HGDP00021.HO	Brahui.HO
962	0.018346770631456434	-0.031508154197285074	500090	HGDP00023.HO	Brahui.HO
963	0.01739356298389593	-0.035135580805839034	500172	HGDP00025.HO	Brahui.HO
964	0.015250520716529192	-0.03719348647492682	499786	HGDP00027.HO	Brahui.HO
965	0.008187400564879719	-0.03603768320502132	499927	HGDP00029.HO	Ignore_Brahui.HO
966	0.01766044717083023	-0.03632446526280417	500201	HGDP00031.HO	Brahui.HO
967	0.018316697345046158	-0.03731424757896097	500255	HGDP00033.HO	Brahui.HO
968	0.01100926556874229	-0.041816442403189526	500263	HGDP00035.HO	Brahui.HO
969	0.018524487306515586	-0.03599863522949041	499710	HGDP00037.HO	Brahui.HO
970	0.005252980564656144	-0.037297258523811425	500039	HGDP00039.HO	Brahui.HO
971	0.019045430742791594	-0.03129763929855311	500167	HGDP00041.HO	Ignore_Brahui.HO
972	0.018759856708715775	-0.0357694154533844	499738	HGDP00043.HO	Brahui.HO
973	0.019373010052116543	-0.035582939432362994	495872	HGDP00045.HO	Brahui.HO
974	0.018164763118558375	-0.034801922371455275	500271	HGDP00047.HO	Brahui.HO
975	0.016612247317863968	-0.03336825955280885	499719	HGDP00049.HO	Brahui.HO
976	0.020415394312455825	-0.0343929689555114	499489	HGDP00052.HO	Balochi.HO
977	0.026907281399677362	-0.028547804979359118	500106	HGDP00054.HO	Balochi.HO
978	0.0029250679256791856	-0.039011006911777016	499747	HGDP00056.HO	Balochi.HO
979	0.010070349265034325	-0.0358057487157427	499562	HGDP00057.HO	Ignore_Balochi.HO
980	0.011523015362457893	-0.033676519565894174	500099	HGDP00058.HO	Balochi.HO
981	0.014655701165583436	-0.03718125213380681	500335	HGDP00060.HO	Ignore_Balochi.HO
982	0.022300389169024337	-0.03616361711110325	499755	HGDP00062.HO	Balochi.HO
983	0.02257436021322352	-0.03329918428394104	498788	HGDP00064.HO	Balochi.HO
984	0.018224728990259103	-0.03221904431334504	500024	HGDP00066.HO	Balochi.HO
985	0.0038986540088925092	-0.033327946374087924	497066	HGDP00068.HO	Balochi.HO
986	-0.03155217074283659	-0.03698709677538217	499280	HGDP00070.HO	Ignore_Balochi.HO
987	0.01963282538917041	-0.03263376158624137	496958	HGDP00072.HO	Balochi.HO
988	0.019795235699786754	-0.037828435825563285	499908	HGDP00074.HO	Balochi.HO
989	0.015350966308820848	-0.03608746443261458	500113	HGDP00076.HO	Ignore_Balochi.HO
990	0.01863158021516866	-0.031075861164753648	497997	HGDP00078.HO	Balochi.HO
991	0.020741228300378466	-0.0335206300098554	499824	HGDP00080.HO	Balochi.HO
992	0.017982471130189984	-0.029641801574974095	498807	HGDP00082.HO	Balochi.HO
993	0.02112335832426179	-0.03457069111770829	499863	HGDP00086.HO	Balochi.HO
994	0.01810095246637815	-0.03212520090980421	491856	HGDP00088.HO	Balochi.HO
995	0.006033253664830051	-0.0347240058454405	496523	HGDP00090.HO	Balochi.HO
996	0.009697699833722637	-0.03746368077663495	499936	HGDP00092.HO	Balochi.HO
997	0.012814118592007219	-0.03190135721404105	499864	HGDP00094.HO	Balochi.HO
998	0.01377560325276221	-0.035940757317897955	499850	HGDP00096.HO	Balochi.HO
